Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;5;Non;Oui;Non;1;Non;97218;Le Morne-Rouge;Commune;219722188;97218;21972218800014;MORNE-ROUGE;Budget principal;M57;Recettes totales;7959495.0;7.959495;4608;1727.3209635416667;1;1;1;;;;;;;;;;2024;4608
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;3;Oui;Oui;Non;0;Non;97219;Le Prêcheur;Commune;219722196;97219;21972219600017;PRECHEUR;Budget principal;M57;Recettes totales;3491399.45;3.4913994500000003;1388;2515.4174711815563;1;1;1;;;;;;;;;;2024;1388
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;7;Non;Oui;Non;1;Non;97220;Rivière-Pilote;Commune;219722204;97220;21972220400019;RIVIERE-PILOTE;Budget principal;M57;Recettes totales;16369632.98;16.369632980000002;11830;1383.7390515638208;1;1;1;;;;;;;;;;2024;11830
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;7;Non;Oui;Non;1;Non;97221;Rivière-Salée;Commune;219722212;97221;21972221200012;RIVIERE-SALEE;Budget principal;M57;Recettes totales;22272946.34;22.27294634;12108;1839.523153287083;1;1;1;;;;;;;;;;2024;12108
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;8;Non;Oui;Non;1;Non;97222;Le Robert;Commune;219722220;97222;21972222000015;ROBERT;Budget principal;M57;Recettes totales;39868909.93;39.86890993;21435;1859.9911327268485;1;1;1;;;;;;;;;;2024;21435
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;7;Non;Oui;Non;1;Non;97223;Saint-Esprit;Commune;219722238;97223;21972223800017;SAINT-ESPRIT;Budget principal;M57;Recettes totales;15938478.03;15.938478029999999;10372;1536.6831883918242;1;1;1;;;;;;;;;;2024;10372
2024;Oui;02;Martinique;972;Martinique;249720061;Communauté d'agglomération du Centre de la Martinique;7;Non;Oui;Non;1;Non;97224;Saint-Joseph;Commune;219722246;97224;21972224600010;SAINT-JOSEPH;Budget principal;M57;Recettes totales;25613285.49;25.61328549;16343;1567.2327901854003;1;1;1;;;;;;;;;;2024;16343
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;5;Non;Oui;Non;0;Non;97225;Saint-Pierre;Commune;219722253;97225;21972225300016;SAINT-PIERRE;Budget principal;M57;Recettes totales;10817495.98;10.81749598;4141;2612.290746196571;1;1;1;;;;;;;;;;2024;4141
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;5;Non;Non;Non;1;Non;97226;Sainte-Anne;Commune;219722261;97226;21972226100019;SAINTE-ANNE;Budget principal;M57;Recettes totales;12610122.35;12.61012235;4545;2774.5043674367435;1;1;1;;;;;;;;;;2024;4545
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;6;Non;Oui;Non;2;Non;97227;Sainte-Luce;Commune;219722279;97227;21972227900011;SAINTE-LUCE;Budget principal;M57;Recettes totales;15964135.4;15.9641354;9550;1671.637214659686;1;1;1;;;;;;;;;;2024;9550
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;7;Non;Oui;Non;1;Non;97228;Sainte-Marie;Commune;219722287;97228;21972228700014;SAINTE-MARIE;Budget principal;M57;Recettes totales;30920288.67;30.92028867;14834;2084.4201611163544;1;1;1;;;;;;;;;;2024;14834
2024;Oui;02;Martinique;972;Martinique;249720061;Communauté d'agglomération du Centre de la Martinique;7;Non;Oui;Non;2;Non;97229;Schœlcher;Commune;219722295;97229;21972229500017;SCHOELCHER;Budget principal;M57;Recettes totales;38623289.92;38.623289920000005;19518;1978.8548990675274;1;1;1;;;;;;;;;;2024;19518
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;7;Non;Oui;Non;1;Non;97230;La Trinité;Commune;219722303;97230;21972230300019;TRINITE;Budget principal;M57;Recettes totales;27813297.29;27.813297289999998;11914;2334.50539617257;1;1;1;;;;;;;;;;2024;11914
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;6;Non;Oui;Non;3;Non;97231;Les Trois-Îlets;Commune;219722311;97231;21972231100012;TROIS-ILETS;Budget principal;M57;Recettes totales;19023073.63;19.02307363;7047;2699.4570214275577;1;1;1;;;;;;;;;;2024;7047
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;6;Non;Oui;Non;1;Non;97232;Le Vauclin;Commune;219722329;97232;21972232900014;VAUCLIN;Budget principal;M57;Recettes totales;15528602.16;15.52860216;8569;1812.1837040494806;1;1;1;;;;;;;;;;2024;8569
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;3;Oui;Oui;Non;1;Non;97233;Le Morne-Vert;Commune;219722337;97233;21972233700017;MORNE-VERT;Budget principal;M57;Recettes totales;3967129.35;3.96712935;1802;2201.5146226415095;1;1;1;;;;;;;;;;2024;1802
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;4;Oui;Oui;Non;1;Non;97234;Bellefontaine;Commune;219722345;97234;21972234500010;BELLEFONTAINE;Budget principal;M57;Recettes totales;9965479.51;9.96547951;2026;4918.795414610069;1;1;1;;;;;;;;;;2024;2026
